Zonal_Dir,LON,Merdian_Dir,LAT,P2021_2050,Stat_sig_50,P2041_2070,Stat_sig_70,P2070_2099,Stat_sig_99
1,0.0000,1,-87.8640,2.266,3,3.514,3,6.079,3
1,0.0000,2,-85.0970,2.291,3,3.498,3,6.054,3
1,0.0000,3,-82.3130,2.267,3,3.500,3,5.934,3
1,0.0000,4,-79.5260,2.233,3,3.488,3,5.903,3
1,0.0000,5,-76.7370,2.089,3,3.294,3,5.625,3
1,0.0000,6,-73.9480,1.935,3,2.991,3,5.079,3
1,0.0000,7,-71.1580,2.022,3,2.984,3,4.938,3
1,0.0000,8,-68.3680,2.218,3,3.237,3,5.256,3
1,0.0000,9,-65.5780,1.982,3,3.008,3,4.860,3
1,0.0000,10,-62.7870,1.707,3,2.654,3,4.197,3
1,0.0000,11,-59.9970,1.413,3,2.246,3,3.529,3
1,0.0000,12,-57.2070,1.167,3,1.883,3,2.993,3
1,0.0000,13,-54.4160,1.056,3,1.717,3,2.742,3
1,0.0000,14,-51.6260,1.113,3,1.813,3,2.951,3
1,0.0000,15,-48.8350,1.300,3,2.080,3,3.419,3
1,0.0000,16,-46.0450,1.493,3,2.343,3,3.852,3
1,0.0000,17,-43.2540,1.621,3,2.542,3,4.159,3
1,0.0000,18,-46.0450,1.689,3,2.622,3,4.276,3
1,0.0000,19,-37.6730,1.647,3,2.568,3,4.244,3
1,0.0000,20,-34.8830,1.519,3,2.410,3,4.020,3
1,0.0000,21,-32.0920,1.403,3,2.237,3,3.741,3
1,0.0000,22,-29.3010,1.323,3,2.126,3,3.570,3
1,0.0000,23,-26.5110,1.323,3,2.098,3,3.549,3
1,0.0000,24,-23.7200,1.374,3,2.140,3,3.632,3
1,0.0000,25,-20.9300,1.457,3,2.263,3,3.849,3
1,0.0000,26,-18.1390,1.546,3,2.415,3,4.116,3
1,0.0000,27,-15.3480,1.617,3,2.540,3,4.345,3
1,0.0000,28,-12.5580,1.651,3,2.614,3,4.469,3
1,0.0000,29,-9.7670,1.661,3,2.648,3,4.522,3
1,0.0000,30,-6.9770,1.671,3,2.689,3,4.603,3
1,0.0000,31,-4.1860,1.728,3,2.791,3,4.778,3
1,0.0000,32,-1.3950,1.755,3,2.841,3,4.860,3
1,0.0000,33,1.3950,1.738,3,2.810,3,4.808,3
1,0.0000,34,4.1860,1.760,3,2.851,3,4.885,3
1,0.0000,35,6.9770,2.054,3,3.346,3,5.847,3
1,0.0000,36,9.7670,2.230,3,3.632,3,6.406,3
1,0.0000,37,12.5580,2.330,3,3.836,3,6.828,3
1,0.0000,38,15.3480,2.568,3,4.184,3,7.341,3
1,0.0000,39,18.1390,2.763,3,4.490,3,7.778,3
1,0.0000,40,20.9300,2.894,3,4.705,3,8.058,3
1,0.0000,41,23.7200,3.021,3,4.881,3,8.314,3
1,0.0000,42,26.5110,3.003,3,4.890,3,8.360,3
1,0.0000,43,29.3010,2.925,3,4.724,3,8.121,3
1,0.0000,44,32.0920,2.822,3,4.574,3,7.970,3
1,0.0000,45,34.8830,2.602,3,4.254,3,7.410,3
1,0.0000,46,37.6730,2.129,3,3.469,3,5.941,3
1,0.0000,47,40.4640,2.415,3,3.928,3,6.817,3
1,0.0000,48,43.2540,2.403,3,3.904,3,6.892,3
1,0.0000,49,46.0450,2.246,3,3.564,3,6.250,3
1,0.0000,50,48.8350,2.103,3,3.304,3,5.692,3
1,0.0000,51,51.6260,1.980,3,3.093,3,5.148,3
1,0.0000,52,54.4160,1.794,3,2.813,3,4.487,3
1,0.0000,53,57.2070,1.700,3,2.647,3,4.078,3
1,0.0000,54,59.9970,1.669,3,2.595,3,3.861,3
1,0.0000,55,62.7870,1.714,3,2.695,3,3.974,3
1,0.0000,56,65.5780,1.783,3,2.901,3,4.369,3
1,0.0000,57,68.3680,1.849,3,3.126,3,5.058,3
1,0.0000,58,71.1580,2.141,3,3.669,3,6.340,3
1,0.0000,59,73.9480,2.712,3,4.843,3,8.332,3
1,0.0000,60,76.7370,3.505,3,6.390,3,10.685,3
1,0.0000,61,79.5260,3.920,3,7.163,3,12.230,3
1,0.0000,62,82.3130,4.354,3,7.509,3,12.797,3
1,0.0000,63,85.0970,4.552,3,7.621,3,13.052,3
1,0.0000,64,87.8640,4.553,3,7.580,3,13.249,3
2,2.8125,1,-87.8640,2.270,3,3.518,3,6.090,3
2,2.8125,2,-85.0970,2.299,3,3.494,3,6.047,3
2,2.8125,3,-82.3130,2.279,3,3.511,3,5.956,3
2,2.8125,4,-79.5260,2.254,3,3.528,3,5.957,3
2,2.8125,5,-76.7370,2.097,3,3.328,3,5.672,3
2,2.8125,6,-73.9480,1.934,3,3.019,3,5.118,3
2,2.8125,7,-71.1580,1.966,3,2.916,3,4.837,3
2,2.8125,8,-68.3680,2.154,3,3.114,3,5.062,3
2,2.8125,9,-65.5780,1.973,3,2.982,3,4.819,3
2,2.8125,10,-62.7870,1.683,3,2.620,3,4.155,3
2,2.8125,11,-59.9970,1.394,3,2.221,3,3.498,3
2,2.8125,12,-57.2070,1.153,3,1.853,3,2.955,3
2,2.8125,13,-54.4160,1.042,3,1.687,3,2.713,3
2,2.8125,14,-51.6260,1.110,3,1.797,3,2.935,3
2,2.8125,15,-48.8350,1.298,3,2.059,3,3.391,3
2,2.8125,16,-46.0450,1.495,3,2.325,3,3.827,3
2,2.8125,17,-43.2540,1.643,3,2.566,3,4.213,3
2,2.8125,18,-46.0450,1.699,3,2.632,3,4.325,3
2,2.8125,19,-37.6730,1.642,3,2.567,3,4.282,3
2,2.8125,20,-34.8830,1.527,3,2.417,3,4.061,3
2,2.8125,21,-32.0920,1.417,3,2.251,3,3.785,3
2,2.8125,22,-29.3010,1.348,3,2.152,3,3.637,3
2,2.8125,23,-26.5110,1.373,3,2.150,3,3.644,3
2,2.8125,24,-23.7200,1.408,3,2.183,3,3.702,3
2,2.8125,25,-20.9300,1.479,3,2.307,3,3.924,3
2,2.8125,26,-18.1390,1.559,3,2.448,3,4.173,3
2,2.8125,27,-15.3480,1.621,3,2.548,3,4.359,3
2,2.8125,28,-12.5580,1.639,3,2.598,3,4.445,3
2,2.8125,29,-9.7670,1.645,3,2.639,3,4.519,3
2,2.8125,30,-6.9770,1.672,3,2.703,3,4.635,3
2,2.8125,31,-4.1860,1.734,3,2.800,3,4.800,3
2,2.8125,32,-1.3950,1.761,3,2.849,3,4.882,3
2,2.8125,33,1.3950,1.751,3,2.826,3,4.844,3
2,2.8125,34,4.1860,1.734,3,2.814,3,4.828,3
2,2.8125,35,6.9770,2.019,3,3.266,3,5.668,3
2,2.8125,36,9.7670,2.211,3,3.591,3,6.288,3
2,2.8125,37,12.5580,2.293,3,3.758,3,6.670,3
2,2.8125,38,15.3480,2.530,3,4.127,3,7.202,3
2,2.8125,39,18.1390,2.695,3,4.403,3,7.583,3
2,2.8125,40,20.9300,2.856,3,4.618,3,7.883,3
2,2.8125,41,23.7200,2.978,3,4.782,3,8.163,3
2,2.8125,42,26.5110,2.976,3,4.809,3,8.217,3
2,2.8125,43,29.3010,2.882,3,4.668,3,7.972,3
2,2.8125,44,32.0920,2.789,3,4.454,3,7.706,3
2,2.8125,45,34.8830,2.612,3,4.205,3,7.340,3
2,2.8125,46,37.6730,2.057,3,3.329,3,5.705,3
2,2.8125,47,40.4640,2.067,3,3.338,3,5.707,3
2,2.8125,48,43.2540,2.322,3,3.748,3,6.516,3
2,2.8125,49,46.0450,2.347,3,3.747,3,6.574,3
2,2.8125,50,48.8350,2.181,3,3.441,3,5.970,3
