Zonal_Dir,LON,Merdian_Dir,LAT,P2021_2050,Stat_Sig_50,P2041_2070,Stat_Sig_70,P2070_2099,Stat_Sig_99
1,0,1,-88.5,-99.999,2,-99.999,2,-99.999,2
1,0,2,-87,6.653,1,12.165,3,15.774,1
1,0,3,-85.5,5.793,1,11.111,3,15.295,1
1,0,4,-84,5.52,1,10.443,1,14.592,3
1,0,5,-82.5,6.259,1,10.861,1,14.686,3
1,0,6,-81,5.408,1,10.864,1,13.533,3
1,0,7,-79.5,3.779,1,8.77,1,11.831,1
1,0,8,-78,3.513,1,7.48,1,11.969,1
1,0,9,-76.5,4.367,1,7.351,1,11.705,1
1,0,10,-75,3.778,1,6.039,1,10.369,3
1,0,11,-73.5,4.625,1,5.96,1,11.624,1
1,0,12,-72,5.468,1,6.332,1,13.91,1
1,0,13,-70.5,5.051,1,5.882,1,14.656,3
1,0,14,-69,3.522,1,4.433,1,14.243,3
1,0,15,-67.5,3.146,1,3.825,1,16.174,3
1,0,16,-66,3.451,1,5.085,1,17.613,3
1,0,17,-64.5,3.796,1,5.312,1,16.364,3
1,0,18,-63,3.714,1,4.742,1,14.402,3
1,0,19,-61.5,3.659,1,4.797,1,12.932,3
1,0,20,-60,3.444,1,5.258,3,11.383,3
1,0,21,-58.5,2.742,1,4.743,1,9.595,3
1,0,22,-57,2.252,1,4.351,1,8.674,3
1,0,23,-55.5,1.649,1,3.678,3,8.042,3
1,0,24,-54,0.92,1,3.03,1,7.487,3
1,0,25,-52.5,0.806,1,3.4,3,8.085,1
1,0,26,-51,0.382,1,3.387,1,8.107,3
1,0,27,-49.5,0.619,1,3.342,1,7.939,3
1,0,28,-48,0.804,1,3.011,1,7.959,3
1,0,29,-46.5,1.047,1,3.097,1,8.356,3
1,0,30,-45,1.162,1,2.911,1,8.409,1
1,0,31,-43.5,1.113,1,2.561,1,8.231,3
1,0,32,-42,1.064,1,2.498,1,8.811,3
1,0,33,-40.5,0.716,1,1.423,1,9.075,1
1,0,34,-39,-0.058,1,-0.113,1,8.828,1
1,0,35,-37.5,-0.421,1,-1.934,1,6.775,1
1,0,36,-36,-1.444,1,-3.661,1,6.191,1
1,0,37,-34.5,-2.217,1,-5.309,1,6.15,1
1,0,38,-33,-3.271,1,-7.396,1,4.997,1
1,0,39,-31.5,-4.703,1,-9.715,1,3.771,1
1,0,40,-30,-5.377,1,-10.783,1,3.941,1
1,0,41,-28.5,-5.602,1,-10.494,1,3.73,1
1,0,42,-27,-4.259,1,-7.062,1,4.114,1
1,0,43,-25.5,-4.338,1,-5.648,1,3.521,1
1,0,44,-24,-5.351,1,-6.033,1,0.319,1
1,0,45,-22.5,-5.115,1,-5.548,1,-0.846,1
1,0,46,-21,-4.999,1,-3.088,1,-1.425,1
1,0,47,-19.5,-3.958,1,-1.115,1,-0.658,1
1,0,48,-18,-2.118,1,1.029,1,1.229,1
1,0,49,-16.5,-2.294,1,-0.081,1,0.782,1
1,0,50,-15,-4.166,1,-2.719,1,-0.288,1
1,0,51,-13.5,-3.316,1,-1.492,1,-0.34,1
1,0,52,-12,0.568,1,3.704,1,3.739,1
1,0,53,-10.5,5.283,1,5.031,1,9.264,3
1,0,54,-9,4.57,1,2.992,1,10.973,1
1,0,55,-7.5,6.574,1,2.979,1,13.556,1
1,0,56,-6,7.39,1,2.684,1,12.176,3
1,0,57,-4.5,6.838,1,2.289,2,9.569,3
1,0,58,-3,3.942,1,1.863,3,6.532,3
1,0,59,-1.5,1.465,1,-0.136,2,4.613,1
1,0,60,0,0.438,1,-2.446,1,4.83,1
1,0,61,1.5,1.864,1,-1.457,1,6.862,1
1,0,62,3,2.303,1,-0.786,1,9.871,1
1,0,63,4.5,2.818,1,-0.712,1,12.473,1
1,0,64,6,2.889,1,1.351,1,12.583,3
1,0,65,7.5,4.635,1,4.149,1,14.631,3
1,0,66,9,5.66,1,5.755,1,16.239,3
1,0,67,10.5,7.378,1,7.556,1,18.851,3
1,0,68,12,12.759,1,11.327,1,23.383,3
1,0,69,13.5,18.636,1,17.891,1,28.451,3
1,0,70,15,23.675,1,26.691,1,37.146,3
1,0,71,16.5,27.717,1,27.646,1,34.796,3
1,0,72,18,27.914,1,33.357,1,42.366,1
1,0,73,19.5,27.959,1,29.513,1,41.161,1
1,0,74,21,17.922,1,17.569,1,30.965,1
1,0,75,22.5,6.913,1,1.584,1,22.392,1
1,0,76,24,-4.283,1,-3.759,1,20.329,1
1,0,77,25.5,-1.173,1,-2.081,1,21.876,1
1,0,78,27,-0.42,1,-3.201,1,13.541,1
1,0,79,28.5,1.891,1,3.398,1,16.583,1
1,0,80,30,0.009,1,7.209,1,11.107,1
1,0,81,31.5,-1.828,1,-3.11,1,6.082,1
1,0,82,33,0.466,1,-4.639,1,6.815,1
1,0,83,34.5,-1.01,1,-5.333,1,4.652,1
1,0,84,36,-5.936,1,-5.934,1,1.623,1
1,0,85,37.5,-6.52,1,-2.333,1,2.946,1
1,0,86,39,-2.575,1,0.895,1,7.434,1
1,0,87,40.5,-2.385,1,2.104,1,7.723,1
1,0,88,42,-1.572,1,0.682,1,5.827,1
1,0,89,43.5,-2.003,1,1.235,1,3.931,1
1,0,90,45,-3.061,1,1.254,1,2.308,1
1,0,91,46.5,-2.387,1,2.937,1,1.859,1
1,0,92,48,-1.407,1,3.558,1,2.837,1
1,0,93,49.5,-0.325,1,4.399,1,3.967,1
1,0,94,51,0.854,1,5.257,1,5.273,1
1,0,95,52.5,2.939,1,6.691,1,7.855,1
1,0,96,54,4.208,1,9.267,1,9.351,1
1,0,97,55.5,3.236,1,9.534,1,8.718,1
1,0,98,57,1.933,1,8.077,1,7.272,1
1,0,99,58.5,1.217,1,7.383,1,5.969,1
1,0,100,60,0.734,1,6.544,1,4.19,2
1,0,101,61.5,1.956,1,7.313,1,4.078,3
1,0,102,63,2.663,1,7.727,1,4.45,1
1,0,103,64.5,2.631,1,8.563,1,5.648,1
1,0,104,66,3.591,1,10.472,1,7.675,1
1,0,105,67.5,5.436,1,14.314,1,11.062,1
1,0,106,69,7.115,1,17.659,3,13.879,3
1,0,107,70.5,6.255,1,17.192,3,13.526,3
1,0,108,72,5.488,1,16.391,1,13.722,3
1,0,109,73.5,5.42,1,14.031,1,12.008,3
1,0,110,75,6.318,1,13.548,1,13.072,3
1,0,111,76.5,8.101,1,15.343,1,16.092,3
1,0,112,78,9.982,1,18.796,1,20.802,1
1,0,113,79.5,13.921,1,25.033,1,28.176,1
1,0,114,81,12.962,1,23.046,1,23.796,1
1,0,115,82.5,15.464,3,22.932,3,21.445,3
1,0,116,84,17.322,1,24.605,3,25.124,3
1,0,117,85.5,18.782,3,25.731,3,27.254,3
1,0,118,87,19.781,3,26.84,3,29.088,3
1,0,119,88.5,-99.999,2,-99.999,2,-99.999,2
2,1.5,1,-88.5,-99.999,2,-99.999,2,-99.999,2
2,1.5,2,-87,10.452,1,14.692,1,15.474,1
2,1.5,3,-85.5,8.766,1,12.987,1,14.78,1
2,1.5,4,-84,8.255,1,12.049,1,13.833,1
2,1.5,5,-82.5,8.243,1,12.042,1,13.048,1
2,1.5,6,-81,7.298,1,12.132,1,11.539,1
2,1.5,7,-79.5,5.643,1,9.901,1,9.643,1
2,1.5,8,-78,6.226,1,8.435,1,9.883,1
2,1.5,9,-76.5,6.985,1,7.628,1,9.548,1
2,1.5,10,-75,5.986,1,6.159,1,7.684,1
2,1.5,11,-73.5,6.153,1,5.807,1,9.996,1
2,1.5,12,-72,7.562,1,6.199,1,11.983,1
2,1.5,13,-70.5,7.826,1,6.599,1,13.033,1
2,1.5,14,-69,6.248,1,5.305,1,12.835,1
2,1.5,15,-67.5,6.242,1,5.475,1,14.955,1
2,1.5,16,-66,6.373,1,6.611,1,16.269,1
2,1.5,17,-64.5,6.689,1,6.621,1,15.039,1
2,1.5,18,-63,6.771,1,5.789,1,12.736,1
2,1.5,19,-61.5,7.203,1,5.874,1,11.165,1
2,1.5,20,-60,6.995,1,6.425,3,9.67,1
2,1.5,21,-58.5,6.11,1,5.874,1,7.775,1
2,1.5,22,-57,5.743,1,5.766,1,7.174,1
2,1.5,23,-55.5,5.147,1,5.047,3,6.904,1
2,1.5,24,-54,4.454,1,4.423,1,6.544,1
2,1.5,25,-52.5,4.376,1,4.765,1,6.986,1
2,1.5,26,-51,4.031,1,4.472,1,6.943,1
2,1.5,27,-49.5,3.856,1,4.171,1,6.881,1
2,1.5,28,-48,3.672,1,3.435,1,6.375,1
2,1.5,29,-46.5,3.629,1,3.09,1,5.833,1
2,1.5,30,-45,3.758,1,2.99,1,5.185,1
2,1.5,31,-43.5,3.646,1,2.774,1,5.152,1
2,1.5,32,-42,3.298,1,2.187,1,5.402,1
2,1.5,33,-40.5,2.185,1,0.13,1,5.045,1
2,1.5,34,-39,0.892,1,-2.627,1,4.381,1
2,1.5,35,-37.5,0.396,1,-5.06,1,1.976,1
2,1.5,36,-36,-0.826,1,-7.311,1,1.313,1
2,1.5,37,-34.5,-1.734,1,-8.899,1,1.711,1
2,1.5,38,-33,-3.678,1,-11.338,1,0.139,1
2,1.5,39,-31.5,-5.367,1,-14.301,1,-1.419,1
2,1.5,40,-30,-5.62,1,-14.086,1,-0.947,1
2,1.5,41,-28.5,-5.12,1,-12.257,1,-0.913,1
2,1.5,42,-27,-2.793,1,-8.385,1,-0.071,1
2,1.5,43,-25.5,-2.469,1,-6.519,1,-1.279,1
2,1.5,44,-24,-2.73,1,-7.015,1,-4.52,1
2,1.5,45,-22.5,-2.655,1,-5.81,1,-5.468,1
2,1.5,46,-21,-2.606,1,-4.011,1,-5.961,1
2,1.5,47,-19.5,-1.956,1,-2.035,1,-4.72,1
